loc_x,loc_y,period,playoffs,shot_distance,shot_made_flag,shot_id,game_date_DT,dayOfWeek,dayOfYear,secondsFromPeriodEnd,secondsFromPeriodStart,secondsFromGameStart,game_date_num,home_field,2PT,ActionType_Alley Oop Dunk Shot,ActionType_Alley Oop Layup shot,ActionType_Cutting Finger Roll Layup Shot,ActionType_Cutting Layup Shot,ActionType_Driving Bank shot,ActionType_Driving Dunk Shot,ActionType_Driving Finger Roll Layup Shot,ActionType_Driving Finger Roll Shot,ActionType_Driving Floating Bank Jump Shot,ActionType_Driving Floating Jump Shot,ActionType_Driving Hook Shot,ActionType_Driving Jump shot,ActionType_Driving Layup Shot,ActionType_Driving Reverse Layup Shot,ActionType_Driving Slam Dunk Shot,ActionType_Dunk Shot,ActionType_Fadeaway Bank shot,ActionType_Fadeaway Jump Shot,ActionType_Finger Roll Layup Shot,ActionType_Finger Roll Shot,ActionType_Floating Jump shot,ActionType_Follow Up Dunk Shot,ActionType_Hook Bank Shot,ActionType_Hook Shot,ActionType_Jump Bank Shot,ActionType_Jump Hook Shot,ActionType_Jump Shot,ActionType_Layup Shot,ActionType_Pullup Bank shot,ActionType_Pullup Jump shot,ActionType_Putback Dunk Shot,ActionType_Putback Layup Shot,ActionType_Putback Slam Dunk Shot,ActionType_Reverse Dunk Shot,ActionType_Reverse Layup Shot,ActionType_Reverse Slam Dunk Shot,ActionType_Running Bank shot,ActionType_Running Dunk Shot,ActionType_Running Finger Roll Layup Shot,ActionType_Running Finger Roll Shot,ActionType_Running Hook Shot,ActionType_Running Jump Shot,ActionType_Running Layup Shot,ActionType_Running Pull-Up Jump Shot,ActionType_Running Reverse Layup Shot,ActionType_Running Slam Dunk Shot,ActionType_Running Tip Shot,ActionType_Slam Dunk Shot,ActionType_Step Back Jump shot,ActionType_Tip Layup Shot,ActionType_Tip Shot,ActionType_Turnaround Bank shot,ActionType_Turnaround Fadeaway Bank Jump Shot,ActionType_Turnaround Fadeaway shot,ActionType_Turnaround Finger Roll Shot,ActionType_Turnaround Hook Shot,ActionType_Turnaround Jump Shot,ShotType_Bank Shot,ShotType_Dunk,ShotType_Hook Shot,ShotType_Jump Shot,ShotType_Layup,ShotType_Tip Shot,ZoneArea_Back Court(BC),ZoneArea_Center(C),ZoneArea_Left Side Center(LC),ZoneArea_Left Side(L),ZoneArea_Right Side Center(RC),ZoneArea_Right Side(R),ZoneBasic_Above the Break 3,ZoneBasic_Backcourt,ZoneBasic_In The Paint (Non-RA),ZoneBasic_Left Corner 3,ZoneBasic_Mid-Range,ZoneBasic_Restricted Area,ZoneBasic_Right Corner 3,Opponent_ATL,Opponent_BKN,Opponent_BOS,Opponent_CHA,Opponent_CHI,Opponent_CLE,Opponent_DAL,Opponent_DEN,Opponent_DET,Opponent_GSW,Opponent_HOU,Opponent_IND,Opponent_LAC,Opponent_MEM,Opponent_MIA,Opponent_MIL,Opponent_MIN,Opponent_NJN,Opponent_NOH,Opponent_NOP,Opponent_NYK,Opponent_OKC,Opponent_ORL,Opponent_PHI,Opponent_PHX,Opponent_POR,Opponent_SAC,Opponent_SAS,Opponent_SEA,Opponent_TOR,Opponent_UTA,Opponent_VAN,Opponent_WAS,shot_zone_range_mapped,season_mapped
167,72,1,0,18,nan,1,2000-10-31 00:00:00,1,305,627,93,93,972950400.0000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5
1,28,3,0,2,nan,8,2000-10-31 00:00:00,1,305,485,235,1675,972950400.0000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5
0,0,1,0,0,nan,17,2000-11-01 00:00:00,2,306,1,719,719,973036800.0000001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5
0,0,3,0,0,nan,20,2000-11-01 00:00:00,2,306,646,74,1514,973036800.0000001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5
163,76,1,0,17,nan,33,2000-11-04 00:00:00,5,309,686,34,34,973296000.0000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5
70,194,1,0,20,nan,34,2000-11-04 00:00:00,5,309,658,62,62,973296000.0000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5
1,19,1,0,1,nan,35,2000-11-04 00:00:00,5,309,453,267,267,973296000.0000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
-12,15,1,0,1,nan,36,2000-11-04 00:00:00,5,309,358,362,362,973296000.0000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
1,4,1,0,0,nan,37,2000-11-04 00:00:00,5,309,249,471,471,973296000.0000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
-117,116,2,0,16,nan,38,2000-11-04 00:00:00,5,309,333,387,1107,973296000.0000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5
